aktiv;mtid_vf;mtid_vb;mtid_parent;vannforsyningssystem;behandlingsanlegg;kommunenr;kommune;funksjon;kunstig_infiltrasjon;siling;filtrering_membran;desinfeksjon_membran;avsalting;koagulering;flokkulering;flotasjon;sedimentering;ionebytte;filtrering_ozon;desinfeksjon_ozon;uv_bestraaling;klorering;kloramin;desinfeksjon_annen;lufting;fjerning_jern_mangan;fjerning_uorg_stoff;ph_just_korrosjonkontroll;avherding;dosering_andre_kjemikalier;andre_behandlingsmetoder;periode
ja;Z1505131220577463251JWUGT;Z1505131225525493251KYMDR;Z1505131225036603251PTRST;Sinober Sportsstue;Partikkelfilter;3232;Nittedal;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2016
ja;Z1505051507451852024DSLBB;Z1505051507453772024VENLQ;Z1505051507453012024OIOFH;Rendølsetra Vassverk;Vannbehandlingsanlegg For Rendølsetra Vassverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505051244443453208CRRXP;Z1505051251227983208XRDSG;Z1505051246506263208POJXU;Sildhopen Private Vannverk;Sildhopen Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
nei;Z1506111507167323215FYVBT;Z1506111516103193215TKXUJ;Z1506111510168003215EMYDT;Landsskytterstevnet 2015 - Vannforsyning;Landsskytterstevnet 2015 - Vannbehandling;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1506251443413612024DQYYD;Z1506251443415772024ZDTGY;Z1506251443414842024JBJUV;Fagerheim Fjellstugu;Fagerheim Vannbehandlingsanlegg - Partikkelfilter;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301339187711190EFAIT;Z1506232251348613251MCURS;Z0704301339187711190QOCKD;Tyrvelid Vassverk V/Raymond Lauritsen;Vannbehandlingsanlegg For Tyrvelid Vassverk V/Adv. Jens Otto Haugland;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z1505191246176172024BWXOT;Z1505191246177662024PBFVP;Z1505191246177302024UCIKQ;Storviksæter Camping;Vannbehandlingsanlegg For Storviksæter Camping;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2016
nei;Z1410170942076393159ZNKRF;Z1506030855253003252ZEGMT;Z1410170944536073159XUKFE;Engerdal Østfjell, J-Feltet - Vannforsyningssystem;Engerdal Østfjell, J-Feltet - Vannbehandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2018
nei;Z1506081331343193251MQIDE;Z1506081403135733251HDIGB;Z1506081401263803251PWNFT;Skarv Fpso;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505211120281872024QCZSY;Z1505211120285892024BKNCZ;Z1505211120283222024IZCJB;Thoskogen - Vannforsyning;Vannbehandlingsanlegg For Thoskogen Nat- Og Gardsb.Hage Vannforsyning;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505211123061662024IREXJ;Z1505211123064232024KUXAH;Z1505211123063002024RTAQP;Thoskogen - Vannforsyning;Vannbehandlingsanlegg For Thoskogen Nat- Og Gardsb.Hage Vannforsyning;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1506241448431092025AEFCJ;Z1506241448434542025XGHNW;Z1506241448433332025JIBWH;Femundsvika Camping;Vannbehandlingsanlegg For Femundsvika Gjestestue Og Motell;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0705302238349701190AMFJP;Z1505271124372923251PKSVP;Z0805072303347111195WHYRN;Havøysund Vannverk;Behandlingsanlegg: Havøysund Vannverk;5618;Måsøy;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505291420023372024FNIHZ;Z1505291420025792024TGPLY;Z1505291420024802024VOKFL;Strand Fjellstue Vannforsyningssystem;Vannbehandlingsanlegg For Strand Fjellstue;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1006041227451451081RMFQL;Z1505061333027150390QYPSH;Z1006041228045351081CQZMU;Joval Camping - Drikkevannsforsyning;Vannbehandling;3122;Marker;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;2017
ja;Z1506260946390162025PWIKL;Z1506260946392612025GERTE;Z1506260946391682025OFWMT;Skansehytta;Skansehytta;3118;Indre Østfold;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505271351481283188PLNMQ;Z1505271357000013188HOSJV;Z1505271354524323188CSGHV;Rødtangen Camping - Vannforsyning - Borebrønn;Uv-Anlegg;3203;Asker;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2016
