aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
nei;BEDR;;;971871504;Tofte Vannverk Sa;3025;Asker - UTGÅTT KODE;Tofte Vannverk;Z0704301335433821189TNBRN;Privat AS, BA, lag, stiftelse, statlig etc;62804;3203;Asker;ERROR [MAT_EJBOrgUnit];tilsynet;2020-08-24;Tofte;2020;154009.0;154009.0;0.0;2300.0;365.0;ja;ja;ja;ja;nei;ja;nei;ja;ja;nei;1900;2300;680;15;51.0;5.0;1.0;7.0;0.0;0.0;36.0
ja;SA;970109714;Tofte Og Filtvet Vannverk Sa;973303163;Filtvedt Vannverk A/L;3203;Asker;Filtvet Vannverk A/L Per Ole Justad;Z0704301335442821189JSUNM;Privat AS, BA, lag, stiftelse, statlig etc;62801;3203;Asker;ERROR [MAT_EJBOrgUnit];tilsynet;2025-12-03;Filtvet;2025;224939.0;224939.0;0.0;30.0;365.0;ja;nei;nei;ja;ja;ja;ja;ja;ja;nei;2600;3500;970;330;56.0;10.0;0.0;5.0;0.0;0.0;29.0
ja;ENK;943509891;Gullvåg Camping Nyberg;973214063;Gullvåg Camping;5027;Midtre Gauldal;Gullvåg Camping V/Odd Og Oddfrid Nyberg;Z0704301335446461190JBJRR;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2016-05-12;Gullvåg;2017;1100.0;1100.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;ja;ja;nei;nei;2;150;1;0;;;;;;;
nei;ENK;994684655;Ivar Johan Haug;972943827;Ivar Johan Haug;3203;Asker;Knatvoldstranda Camping Vannv. V/Ivar Johan Haug;Z0704301335449091189MXRCA;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-08-29;Knatvoldstranda Camping;2017;500.0;500.0;0.0;;;nei;ja;ja;nei;nei;nei;ja;ja;nei;nei;0;400;0;0;;;;;;;
nei;FLI;974246392;Norges Automobil-Forbund Avd. Drammen Og Opland;974841282;Norges Automobilforbund Avd. Drammen;3301;Drammen;Rødtangen Camping Vannverk;Z0704301335458871189IPBPV;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-08-05;Rødtangen;2014;2495.0;2500.0;;;;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;660;0;1;;;;;;;
ja;SA;972419915;Sørfjord Vassverk Sa;912984265;Sørfjord Vassverk Sa;5054;Indre Fosen;Sørfjord Vannverk V/ Ronny Enebakk;Z0704301335460001189ALSLP;Privat AS, BA, lag, stiftelse, statlig etc;162405;5054;Indre Fosen;ERROR [MAT_EJBOrgUnit];tilsynet;2013-09-24;Sørfjorden;2024;0.0;0.0;30000.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;250;250;103;2;72.0;3.0;0.0;0.0;0.0;25.0;0.0
nei;SA;870089872;Nes Vassverk Sa;972471313;Nes Vassverk Sa;5057;Ørland;Nes Vassverk V/ Ivar Hellem;Z0704301335461531189ZHXAQ;Kommunal etat/enhet;162706;5057;Ørland;ERROR [MAT_EJBOrgUnit];tilsynet;2015-01-21;Nes herred;2018;62000.0;62000.0;0.0;;;ja;ja;ja;ja;nei;nei;ja;nei;ja;nei;150;290;70;70;50.0;30.0;0.0;0.0;20.0;0.0;0.0
ja;SA;970952519;Mosvik Vannverk Sa;972485683;Mosvik Vannverk A/L V/A Wibe;5053;Inderøy;Mosvik Vannverk Sa;Z0704301335475041189LDAJG;Kommunal etat/enhet;172301;;;ERROR [MAT_EJBOrgUnit];tilsynet;2023-11-23;Mosvik;2025;110457.0;110457.0;0.0;0.0;0.0;ja;nei;nei;ja;ja;ja;ja;ja;ja;nei;475;670;192;45;51.1;13.3;1.5;2.0;2.8;0.0;29.3
ja;SA;967018848;Leksvik Vassverk Sa;973295667;Leksvik Vassverk Sa;5054;Indre Fosen;Leksvik Vassverk Sa;Z0704301335476951189TDYQN;Privat AS, BA, lag, stiftelse, statlig etc;171801;;;ERROR [MAT_EJBOrgUnit];tilsynet;2026-09-08;7120 Leksvik;2025;426037.0;426037.0;0.0;1992.0;2.0;ja;ja;ja;ja;ja;ja;nei;ja;ja;nei;1990;2110;832;70;39.0;1.0;43.0;5.0;5.0;5.0;2.0
nei;AS;916898649;Bortistu Gjestegard As;975403211;Bortistu Gjestegard As;5021;Oppdal;Bortistu Gjestegard Foredlingsvirksomhet;Z0704301335477521190MCGPA;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2015-09-10;Storlidalen;2015;330.0;330.0;0.0;4.0;10.0;ja;nei;nei;nei;nei;nei;ja;nei;ja;nei;0;200;1;0;;;;;;;
